STT	正确答案	题目		B	C	D
573	A	马拉松长跑来源于马拉松战役，它的爆发地是	古代希腊	古代罗马 	中国  	 马其顿
574	A	我国第一颗原子弹研制成功是在哪一年？	1964	1960	1967	1962
575	A	我国是谁最早发现了甲骨文?	王懿荣 	郭沫若	顾颉刚	刘鄂 
576	A	世界上使用人数最多的语言是	汉语	英语	西班牙语	世界语
577	A	我国第一部词典是:	《尔雅》	《说文解字》	《切韵》	《史籀》
578	A	广东省潮汕地区的潮汕方言是属于哪种方言?	闽南方言	 闽北方言 	客家方言 	 粤方言
579	A	你知道世界语的创始人是谁吗?	柴门霍夫	布拉耶	埃利斯	奥格登
580	A	我国古代著名书院白鹿洞书院位于:	江西庐山	湖南衡阳 	河南商丘	  湖南长沙 
581	A	中国著名大学科技大学位于哪一个城市?	合肥	武汉	北京 	上海 
582	A	"成语""凿壁偷光""是出自哪位古代人物的苦学故事?"	匡衡	 孙敬 	车胤 	孔子
583	A	我国什么时候高等教育开始实施学位制?	1981	1978	1979	1980
584	A	世界上规模最大的大学是哪所高校?	纽约州立大学 	北京大学	哈佛大学	剑桥大学
585	A	我国收入的字最多的字典是哪一部?	《康熙字典》	《方言》  	《说文解字》 	《新华字典》
586	A	著名通讯社路透社是哪一个国家的通讯社?	英国	法国 	中国	美国
587	A	著名书籍《物种起源》一书是谁所著?	达尔文  	马克思	哥白尼  	牛顿 
588	A	"下列古书中哪部不属于""四书""之一:"	《春秋》 	《大学》	 《中庸》 	《论语》
589	A	我国第一部纪传体通史是:	《史记》	 《春秋》	《汉书》 	《后汉书》
590	A	我国最早的一部医学理论著作是:	《黄帝内经》	《本草纲目》	《千金方》	《伤寒杂病论》
591	A	"""世界环境日""是在每年的哪一天?"	6月5日	6月4日	6月6日	6月3日
592	A	"我国植树节定在每年的3月12日,这也是为纪念哪位人物而定的?"	孙中山 	屈原	雷锋	白求恩
593	A	世界三大人种中哪一种就是黑色人物	尼格罗人种 	欧罗巴人种	蒙古人种	
594	A	世界人口大国中除中国外还有哪个国家的人口超10亿?	印度	俄罗斯   	印尼 	加拿大 
595	A	我国姓氏中哪一个姓氏的人口比例最多?	李	王	张	周
596	A	"古人对""六十岁""年龄的人的称呼是:"	花甲	而立	不惑	知天命
597	A	"根椐《百家姓》,我国的复姓共有多少个?"	76个	80个	86个	70个
598	A	我国士兵预备役的年龄范围为	18-35周岁	16-30周岁  	 16-35周岁	18-30周岁 
599	A	我国婚姻法规定女性结婚年龄不得早于多少周岁？	20周岁 	16周岁	22周岁	18周岁
600	A	我国要被选为国家主席、副主席年龄要在多少周岁以上：	45周岁	50周岁	35周岁  	40周岁  
601	A	下列数字中哪一个是西方人最忌讳的：	13	4	7	8
602	A	下列少数民族中哪个民族不忌吃猪肉？	满族 	哈萨克族	回族   	乌孜别克族
603	A	供给人的机体热能的最主要营养物质是	糖 	  脂肪	维生素	蛋白质  
604	A	下列哪个国家很忌用人物肖像作商标	英国	美国	法国 	 日本 
605	A	“念慈”是古代对对方亲属中哪一位的尊称	母亲 	父亲 	伯父 	伯母
606	A	“下半旗致哀”的由来是源于什么人物的去世	船长	族长	酋长  	皇帝
607	A	下列哪个国家一般不准女性在生人面前露面	沙特阿拉伯	孟加拉	印度  	  印尼
608	A	我国道家学派创始人是	老子 	孔子	庄子 	孟子
609	A	“天下兴亡，匹夫有责”是哪位思想家的名言？	顾炎武	黄宗羲  	 王夫之   	王充
610	A	《古兰经》是哪个宗教的经典	伊斯兰教 	佛教 	基督教	道教
611	A	居室中什么地方污染最重	厨房	洗手间	卧室	
612	A	下面属于可再生能源的是	太阳能	电力	煤炭	
613	A	以下食品中铅含量最高的是	松花蛋	黄瓜	面包 	
614	A	以下哪种食品中所含致癌物质最多?	烤羊肉串	水煮鱼	炒面	
615	A	工业三废是指	废水、废气、废渣 	废水、废气、废料	废水、废料、废渣	
616	A	下列哪种能源不属于清洁能源？	煤炭 	太阳能	沼气	
617	A	科学研究表明，室外锻炼最佳时间是什么时候？	下午或傍晚	早晨、傍晚	早晨、晚上 	
618	A	汽车耗油量通常随着排气量的上升而	增加	减少	不变 	
619	A	哪个活动是近百年来全球气候变暖的主要原因	人类活动	火山活动	太阳活动	
620	A	废旧电池是有害垃圾，它的回收方式是	专门回收	放在不可利用的垃圾一起	放在可再利用垃圾一起	
621	A	低碳经济”的实质是	追求绿色GDP	减少收入 	能源低利用	
622	A	我们常说的噪声污染是指	80分贝以上	90分贝以上 	40分贝以上 	
623	A	塑料在自然界可停留	100—200年	50年	10年 	
624	A	电脑显示器的哪个部位辐射最强?	背面 	正面 	侧面	
625	A	以下哪种植物最适合放在室内用来净化空气?	吊兰 	郁金香	含羞草	
626	A	中国植树节是每年的	3月12日	2月12日	4月12日	
627	A	林则徐“虎门销烟”发生在哪一年	1839	1840	1848	1842
